year,lat,lon,quarter,month,date,haul_id,ices_rect,sub_div,country,haul_no,day,density,month_year,temp,salinity,oxy,depth,X,Y
2010,55.3058,15.3168,1,3,2010-3-16,2010:1:DK:26D4:TVL:145:9,39G5,25,DK,9,16,1170.5865024206655,3_2010,0.9863330125808716,14.412677764892578,8.376996829132079,77.12000274658203,520.1107769986555,6128.867112281066
2010,55.2287,15.176,1,3,2010-3-16,2010:1:DK:26D4:TVL:147:10,39G5,25,DK,10,16,340.98880942100203,3_2010,0.8825741410255432,12.28303050994873,8.646287580615233,61.619998931884766,511.19432746065934,6120.255532605209
2010,55.7505,15.3752,1,3,2010-3-17,2010:1:DK:26D4:TVL:169:11,40G5,25,DK,11,17,4040.050143871222,3_2010,2.8458893299102783,12.179895401000977,7.725296455633544,60.959999084472656,523.5508716825553,6178.375219165863
2010,55.6635,15.2181,1,3,2010-3-17,2010:1:DK:26D4:TVL:171:12,40G5,25,DK,12,17,1409.2335096458855,3_2010,2.0861804485321045,14.80867862701416,7.943287938726806,67.9000015258789,513.720359230381,6168.650641982841
2010,55.6681,14.7081,1,3,2010-3-17,2010:1:DK:26D4:TVL:173:13,40G4,25,DK,13,17,670.242011334676,3_2010,1.3891510963439941,10.579717636108398,8.448811294992066,56.2400016784668,481.6391547102387,6169.179641053217
2010,55.6652,14.961,1,3,2010-3-17,2010:1:DK:26D4:TVL:175:14,40G4,25,DK,14,17,2842.9262226338133,3_2010,1.7525591850280762,13.71353530883789,8.072766078573608,64.76000213623047,497.5466700082185,6168.818963312167
2010,55.5989,14.562,1,3,2010-3-18,2010:1:DK:26D4:TVL:182:15,40G4,25,DK,15,18,3379.1669587141755,3_2010,1.4296516180038452,12.698874473571777,8.158931547906494,64.80000305175781,472.4007542910046,6161.526750006777
2010,55.32,17.2299,1,3,2010-3-19,2010:1:DK:26D4:TVL:184:16,39G7,25,DK,16,19,3052.501024566179,3_2010,5.410075664520264,12.808992385864258,6.112778565075683,74.69999694824219,641.4933624055453,6132.666350791802
2010,55.3888,17.113,1,3,2010-3-19,2010:1:DK:26D4:TVL:186:17,39G7,25,DK,17,19,974.210518613594,3_2010,2.6664726734161377,8.424460411071777,7.770335182464599,60.400001525878906,633.8446060334626,6140.0897042727565
2010,55.3981,16.7324,1,3,2010-3-19,2010:1:DK:26D4:TVL:188:18,39G6,25,DK,18,19,1079.8655493214378,3_2010,2.8965632915496826,8.569929122924805,7.727360070074463,57.04999923706055,609.7132372206546,6140.458482520979
2010,55.3558,16.2965,1,3,2010-3-19,2010:1:DK:26D4:TVL:190:19,39G6,25,DK,19,19,2529.7203340270376,3_2010,8.148645401000977,15.535265922546387,4.3010655073959345,70.8499984741211,582.1972179166157,6135.150805633257
2010,55.4908,17.4108,1,3,2010-3-22,2010:1:DK:26D4:TVL:208:21,39G7,25,DK,21,22,968.4366915521659,3_2010,1.6508296728134155,7.295958995819092,8.993746953814696,33.900001525878906,652.3111236248697,6152.050507610476
2010,55.3946,17.7679,1,3,2010-3-22,2010:1:DK:26D4:TVL:209:22,39G7,25,DK,22,22,2431.624073539511,3_2010,5.03499698638916,12.301965713500977,6.468426797698974,73.80000305175781,675.2924357898445,6142.189677918407
2010,55.5054,18.0824,1,3,2010-3-22,2010:1:DK:26D4:TVL:210:23,40G8,26,DK,23,22,2474.745745014353,3_2010,4.7281317710876465,9.870914459228516,5.209628821899414,71.80000305175781,694.6567837940952,6155.351354788572
2010,55.3701,18.4283,1,3,2010-3-22,2010:1:DK:26D4:TVL:213:24,39G8,26,DK,24,22,6336.352202655647,3_2010,4.777281284332275,11.804057121276855,6.393354280960082,83.0999984741211,717.234199366381,6141.327406359677
2010,55.3212,18.7542,1,3,2010-3-22,2010:1:DK:26D4:TVL:214:25,39G8,26,DK,25,22,2552.022869514493,3_2010,5.716815948486328,12.089530944824219,5.449515459205627,88.19999694824219,738.1683329224144,6136.9556236237295
2010,55.2866,14.3464,1,3,2010-3-11,2010:1:DK:26D4:TVL:22:26,39G4,24,DK,26,11,1354.370002868329,3_2010,1.191318392753601,15.30727481842041,8.235945365515136,48.08000183105469,458.48902978085465,6126.87936681798
2010,54.8396,15.6287,1,3,2010-3-13,2010:1:DK:26D4:TVL:72:43,38G5,25,DK,43,13,1360.0489080713987,3_2010,4.792881965637207,13.857044219970703,6.301716133462524,76.1500015258789,540.377020395887,6077.123616499578
2010,55.7867,17.6932,1,3,2010-3-23,2010:1:DK:26D4:TVL:225:27,40G7,25,DK,27,23,720.1458180975438,3_2010,2.775980234146118,7.652764320373535,7.596919821243286,57.400001525878906,668.870085940931,6185.6233493416585
2010,55.735,17.9475,1,3,2010-3-23,2010:1:DK:26D4:TVL:227:28,40G7,25,DK,28,23,5528.3483925238825,3_2010,3.3743653297424316,8.00359058380127,6.132844823907471,59.900001525878906,685.0551528889791,6180.521690007697
2010,55.466,14.967,1,3,2010-3-11,2010:1:DK:26D4:TVL:24:32,39G4,24,DK,32,11,2988.8425942052068,3_2010,1.1533639430999756,14.492426872253418,8.390688432626343,77.220001220703125,497.9135743852475,6146.64992525001
2010,55.7135,16.6607,1,3,2010-3-24,2010:1:DK:26D4:TVL:241:33,40G6,25,DK,33,24,1681.7083503285141,3_2010,5.883720397949219,10.792956352233887,5.811243496295166,55.880001068115234,604.3338045289706,6175.443098552968
