tblUploadID,Country,Reporting_organisation,CruiseID
8187,"LV","3140","LV314090MF1996"
8224,"LV","3140","LV3140LA991999"
8210,"LV","3140","LV314067BC2014"
8184,"LV","3140","LV3140LAIZ1993"
8221,"LV","3140","LV3140LA992002"
8213,"LV","3140","LV314067BC2012"
8185,"LV","3140","LV314090MF1994"
8222,"LV","3140","LV3140LA992001"
8216,"LV","3140","LV314067BC2007"
8188,"LV","3140","LV3140LA991997"
8219,"LV","3140","LV3140LA992004"
8177,"SE","4484","SE448477SE2021"
8191,"DK","2195","DK219526D42021"
8194,"LV","3140","LV3140LA991998"
8220,"LV","3140","LV3140LA992003"
8214,"LV","3140","LV314067BC2009"
8217,"LV","3140","LV314067BC2006"
8211,"LV","3140","LV314067BC2013"
8223,"LV","3140","LV3140LA992000"
8189,"DK","2195","DK219526D42018"
8218,"LV","3140","LV3140LA992005"
8175,"PL","194","PL19467BC2021"
8212,"LV","3140","LV3140LTDA2012"
8186,"LV","3140","LV314090MF1995"
8215,"LV","3140","LV314067BC2008"
